date,actual_mw_avg,predicted_mw_avg,mean_abs_error_mw,temp_deviation_avg,explanation
2025-05-22,17416.554417166666,17089.498,345.72852654166644,1.3819444444444429,The forecast was low
2025-08-17,17957.873166916666,17653.941,332.95197879687504,-0.05277777777777611,The model
2025-05-23,17542.241211,17221.742,325.33078708854174,2.0416666666666665,
2025-05-19,17502.692718333336,17226.816,289.6805734765624,2.6055555555555574,On
2025-08-04,16470.781106833332,16433.328,285.0222279427084,-1.5993142857142857,
2025-08-05,17649.465174333334,17388.861,275.07298386197925,-0.25805555555555654,
2025-05-20,17441.068213875,17226.842,275.04029959635426,2.22361111111111,
2025-05-24,17316.03997425,17059.947,257.77924578645843,1.9583333333333321,
2025-08-20,17741.480929208334,17596.482,250.58556679947932,-0.3965277777777807,The model underestimated the day’s electricity demand by 251 MW
2025-07-18,17100.320606458332,16934.713,246.33162092968738,-0.6881944444444473,The forecast was low by 246 MW because the day was a little colder—
